split_type,split_id,similarity_bin,n,positive_fraction,brier,balanced_accuracy,roc_auc,average_precision
scaffold,4,0.50-0.70,11,0.2727272727272727,0.04654807231275502,0.8333333333333333,1.0,1.0
scaffold,4,>=0.70,4,0.0,0.001762865913070178,1.0,,
scaffold,5,<0.30,62,0.5161290322580645,0.26814252180913567,0.6302083333333333,0.6260416666666666,0.6354035260498931
scaffold,5,0.30-0.50,52,0.28846153846153844,0.18993244596686257,0.6981981981981982,0.7693693693693693,0.5893232738354689
scaffold,5,0.50-0.70,11,0.18181818181818182,0.06116638055310359,0.9444444444444444,1.0,1.0
scaffold,5,>=0.70,2,0.0,0.000347519796777328,1.0,,
scaffold,6,<0.30,37,0.5135135135135135,0.1772154036135228,0.7807017543859649,0.8216374269005848,0.807730747627383
scaffold,6,0.30-0.50,24,0.3333333333333333,0.15195626444279278,0.75,0.859375,0.8018127705627706
scaffold,6,0.50-0.70,13,0.23076923076923078,0.028834481181642987,0.95,1.0,1.0
scaffold,6,>=0.70,2,0.0,0.001872855535506236,1.0,,
scaffold,7,<0.30,34,0.4117647058823529,0.19215407941032522,0.7214285714285715,0.7642857142857142,0.7519007018374804
scaffold,7,0.30-0.50,32,0.375,0.10045020101293192,0.85,0.9333333333333333,0.912962962962963
scaffold,7,0.50-0.70,13,0.15384615384615385,0.08574181649770635,0.9090909090909092,0.9090909090909091,0.75
scaffold,7,>=0.70,6,0.16666666666666666,0.03889317485175623,1.0,1.0,1.0
scaffold,8,<0.30,47,0.5531914893617021,0.23001230183287158,0.6794871794871795,0.7014652014652014,0.726195896913639
scaffold,8,0.30-0.50,25,0.36,0.11021196409447409,0.8506944444444444,0.9375,0.9251543209876543
scaffold,8,0.50-0.70,9,0.1111111111111111,0.061289414803816014,0.9375,1.0,1.0
scaffold,8,>=0.70,6,0.16666666666666666,0.07390692417677394,1.0,1.0,1.0
scaffold,9,<0.30,46,0.5869565217391305,0.15261380523306634,0.8128654970760234,0.8557504873294347,0.9018105375235852
scaffold,9,0.30-0.50,22,0.3181818181818182,0.3098392279664954,0.44285714285714284,0.580952380952381,0.4702614379084968
scaffold,9,0.50-0.70,9,0.2222222222222222,0.09237923449615429,0.8571428571428572,1.0,1.0
scaffold,9,>=0.70,5,0.0,0.001896596693053527,1.0,,
scaffold,10,<0.30,53,0.49056603773584906,0.2797214423772539,0.5477207977207976,0.5897435897435898,0.5823843482717274
scaffold,10,0.30-0.50,58,0.27586206896551724,0.14508827749675166,0.7991071428571428,0.8675595238095238,0.7644808112638994
scaffold,10,0.50-0.70,18,0.2777777777777778,0.07030029542423,0.823076923076923,0.9692307692307692,0.9428571428571428
scaffold,10,>=0.70,6,0.16666666666666666,0.04840779991955623,0.5,1.0,1.0
scaffold,11,<0.30,38,0.5263157894736842,0.2888461942904337,0.575,0.5972222222222222,0.5764992274231405
scaffold,11,0.30-0.50,26,0.4230769230769231,0.12510229225124364,0.796969696969697,0.896969696969697,0.8154187019160282
scaffold,11,0.50-0.70,11,0.09090909090909091,0.04029933473714865,1.0,1.0,1.0
scaffold,11,>=0.70,4,0.0,0.0029729083681709827,1.0,,
scaffold,12,<0.30,43,0.4186046511627907,0.22151839750046487,0.6177777777777778,0.7377777777777778,0.7033239984514348
scaffold,12,0.30-0.50,31,0.22580645161290322,0.20149208120369894,0.7619047619047619,0.8452380952380952,0.639654080255584
scaffold,12,0.50-0.70,7,0.14285714285714285,0.050050234534916534,0.9166666666666667,1.0,1.0
scaffold,12,>=0.70,3,0.0,0.0011197534986953255,1.0,,
scaffold,13,<0.30,38,0.5526315789473685,0.16432632418776424,0.7871148459383753,0.8431372549019608,0.8664889761455188
scaffold,13,0.30-0.50,28,0.32142857142857145,0.11841334209107748,0.8918128654970761,0.8888888888888888,0.7356701940035274
scaffold,13,0.50-0.70,12,0.08333333333333333,0.04431575495501835,0.9545454545454546,1.0,1.0
scaffold,13,>=0.70,1,0.0,0.01545828041745457,1.0,,
scaffold,14,<0.30,38,0.6052631578947368,0.25180573161679476,0.6710144927536232,0.6985507246376811,0.7955823711605987
scaffold,14,0.30-0.50,19,0.2631578947368421,0.21404910825598963,0.5928571428571429,0.6142857142857142,0.5454901960784313
scaffold,14,0.50-0.70,12,0.16666666666666666,0.008012923212718504,1.0,1.0,1.0
scaffold,14,>=0.70,6,0.0,0.0010228241515006663,1.0,,
scaffold,15,<0.30,39,0.48717948717948717,0.1488709200503344,0.7710526315789473,0.8684210526315789,0.8922354284681151
scaffold,15,0.30-0.50,32,0.53125,0.15555374841089004,0.8156862745098039,0.8666666666666666,0.8885876031757038
scaffold,15,0.50-0.70,12,0.16666666666666666,0.10996169747805491,0.95,1.0,1.0
scaffold,15,>=0.70,2,0.0,0.0011603742972621338,1.0,,
scaffold,16,<0.30,46,0.5652173913043478,0.3429366978977224,0.551923076923077,0.5096153846153846,0.6458897810475007
scaffold,16,0.30-0.50,28,0.35714285714285715,0.16565035107028558,0.8055555555555556,0.9222222222222223,0.8770959595959595
scaffold,16,0.50-0.70,10,0.2,0.0722123868422749,0.9375,1.0,1.0
scaffold,16,>=0.70,3,0.0,0.00019363644171571342,1.0,,
scaffold,17,<0.30,62,0.4032258064516129,0.23012794881471052,0.6713513513513514,0.7005405405405406,0.6303393350556142
